Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
0,0.0,0,0.0,8,257.4,0.0,0.028571429,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,True
2,44.0,0,0.0,44,724.3166667,0.0,0.011363636,19.21218939,0.0,May,2,2,3,2,Returning_Visitor,False
6,573.5,1,0.0,33,1946.942857,0.005882353,0.020602653,0.0,0.0,Mar,3,2,3,2,Returning_Visitor,False
4,122.5,0,0.0,66,1706.712281,0.0,0.00957265,0.0,0.0,May,2,2,1,4,Returning_Visitor,False
0,0.0,0,0.0,20,381.0,0.045,0.075,0.0,0.0,June,1,1,2,3,Returning_Visitor,False
1,44.5,0,0.0,31,739.6666667,0.01,0.052222222,0.0,0.0,Dec,1,8,3,1,Returning_Visitor,False
3,38.0,0,0.0,83,2101.466667,0.0,0.001190476,0.0,0.0,May,2,2,1,4,New_Visitor,False
3,42.2,0,0.0,18,721.8,0.01,0.02,0.0,0.0,Oct,3,2,1,1,Returning_Visitor,False
0,0.0,1,416.0,20,412.8333333,0.019047619,0.038095238,0.0,0.0,May,2,2,3,6,Returning_Visitor,False
0,0.0,1,59.5,44,2284.488095,0.0,0.003359173,0.0,0.0,Dec,3,3,2,8,Returning_Visitor,False
0,0.0,0,0.0,8,943.5,0.025,0.045833333,0.0,0.0,Dec,3,2,3,10,Returning_Visitor,False
3,157.4,0,0.0,9,128.5,0.036363636,0.081818182,0.0,0.0,Jul,3,2,1,3,Returning_Visitor,True
2,55.5,0,0.0,25,2466.533333,0.007407407,0.028888889,49.01323885,0.0,Dec,2,2,1,2,Returning_Visitor,False
4,33.91666667,4,785.875,251,9297.575489,0.011608301,0.027881156,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,3,2,3,6,Returning_Visitor,False
0,0.0,0,0.0,30,1029.583333,0.003571429,0.009166667,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False
0,0.0,0,0.0,50,694.5166667,0.008163265,0.024489796,0.0,0.0,Dec,2,4,3,1,Returning_Visitor,False
7,77.5,0,0.0,14,192.9333333,0.0,0.013333333,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False
6,89.0,1,0.0,29,1183.233333,0.013793103,0.025517241,0.0,0.2,May,3,2,1,2,Returning_Visitor,False
8,87.5,0,0.0,31,496.5833333,0.005405405,0.012612613,3.889459459,0.0,Mar,2,2,7,2,Returning_Visitor,False
0,0.0,1,0.0,37,1358.75,0.001754386,0.03245614,0.0,0.0,Mar,2,5,3,1,Returning_Visitor,False
0,0.0,0,0.0,5,62.5,0.0,0.04,0.0,0.0,Nov,2,2,1,8,New_Visitor,False
5,58.83333333,0,0.0,128,6483.0804,0.003307888,0.012517824,3.83397413,0.0,Nov,2,2,2,1,Returning_Visitor,True
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Nov,1,1,6,6,Returning_Visitor,False
0,0.0,0,0.0,15,139.8333333,0.026666667,0.053333333,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False
2,58.4,0,0.0,84,3528.69125,0.01577381,0.039900794,0.0,0.0,June,2,2,1,1,Returning_Visitor,False
1,5.0,0,0.0,108,2367.4,0.0,0.003773585,0.0,0.0,Dec,2,2,1,2,New_Visitor,True
0,0.0,0,0.0,64,3025.058333,0.003125,0.018958333,0.0,0.0,Nov,3,2,2,2,Returning_Visitor,False
3,62.9,1,0.0,30,647.518523,0.0,0.010437463,13.73292849,0.0,Jul,2,2,3,1,Returning_Visitor,True
4,26.0,0,0.0,235,10046.80771,0.007670851,0.022527689,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False
5,53.3,0,0.0,4,102.2,0.0,0.025,31.44363136,0.0,Oct,2,2,6,2,Returning_Visitor,False
2,10.77142857,0,0.0,70,2094.138889,0.023611111,0.05224537,0.0,0.0,Jul,2,2,3,1,Returning_Visitor,False
0,0.0,0,0.0,8,846.6,0.022222222,0.022222222,24.61778468,0.0,Nov,1,1,7,5,New_Visitor,False
0,0.0,1,1729.0,19,1401.083333,0.02,0.05,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False
0,0.0,0,0.0,8,260.0,0.008333333,0.025,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,True
0,0.0,0,0.0,9,193.6666667,0.007407407,0.047619048,0.0,1.0,May,1,8,7,4,Returning_Visitor,True
2,10.0,1,19.0,24,845.8333333,0.004,0.022,0.0,0.0,Dec,1,1,4,3,Returning_Visitor,True
2,14.25,0,0.0,29,1082.75,0.0,0.006896552,84.87572674,0.0,Nov,2,5,3,2,New_Visitor,False
0,0.0,0,0.0,7,354.5,0.028571429,0.04,0.0,0.0,Nov,2,2,4,8,Returning_Visitor,False
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Aug,1,1,3,4,Returning_Visitor,False
1,88.0,0,0.0,22,516.8333333,0.0,0.016666667,0.0,0.0,Dec,1,1,3,8,Returning_Visitor,False
4,133.8,2,54.4,13,421.7857143,0.0,0.023529412,0.0,0.0,Nov,1,1,3,2,New_Visitor,False
0,0.0,0,0.0,2,17.0,0.1,0.15,0.0,0.6,May,1,1,5,2,Returning_Visitor,False
1,12.0,0,0.0,22,380.8066667,0.019047619,0.013333333,0.0,0.0,Jul,1,2,3,2,Returning_Visitor,False
1,19.0,0,0.0,21,702.125,0.01,0.018333333,0.0,0.0,Nov,2,4,1,1,Returning_Visitor,False
0,0.0,0,0.0,3,75.0,0.066666667,0.133333333,0.0,0.0,Dec,3,2,1,20,Returning_Visitor,False
0,0.0,0,0.0,12,797.84,0.0,0.018181818,0.0,0.0,Aug,2,2,3,4,Returning_Visitor,False
3,143.0,2,29.0,3,380.0,0.0,0.042857143,0.0,0.4,May,2,2,4,3,New_Visitor,False
1,18.0,2,13.0,20,1287.27381,0.015873016,0.038095238,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False
3,81.4,0,0.0,94,2487.52,0.0,0.002083333,0.0,0.0,Oct,2,2,6,2,New_Visitor,False
0,0.0,0,0.0,6,226.6666667,0.0,0.033333333,0.0,0.0,Dec,4,1,9,1,Returning_Visitor,True
0,0.0,0,0.0,67,771.4133333,0.0,0.004205128,0.0,0.0,Aug,1,8,9,1,Returning_Visitor,False
5,62.0,0,0.0,30,3815.166667,0.0,0.026200717,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,False
9,795.2083333,0,0.0,118,4947.358038,0.001138211,0.011200631,2.270358059,0.0,Nov,3,2,5,2,Returning_Visitor,False
0,0.0,0,0.0,8,41.13333333,0.025,0.0625,0.0,0.0,Jul,2,2,9,1,Returning_Visitor,False
1,44.5,0,0.0,52,1300.041667,0.001960784,0.023193277,6.028854102,0.0,Nov,2,2,2,2,Returning_Visitor,True
1,12.0,1,11.0,74,6194.852381,0.015540541,0.032152607,0.0,0.0,Nov,2,2,9,13,Returning_Visitor,False
0,0.0,0,0.0,2,24.0,0.0,0.05,0.0,0.0,Mar,3,2,3,3,Returning_Visitor,False
5,47.5,0,0.0,40,787.2,0.0,0.012121212,2.782886364,0.4,May,2,2,4,4,Returning_Visitor,False
4,65.68,1,42.4,12,285.68,0.015384615,0.038461538,0.0,0.0,Aug,2,6,4,3,Returning_Visitor,True
0,0.0,1,0.0,20,581.5,0.015,0.051666667,0.0,0.0,Sep,2,2,1,1,Returning_Visitor,False
2,38.0,0,0.0,77,1230.312302,0.0,0.003492063,79.0,0.6,May,2,4,4,2,Returning_Visitor,False
7,122.0,3,40.0,111,3154.970833,0.003448276,0.014655172,2.613062787,0.0,Dec,2,2,1,1,Returning_Visitor,True
0,0.0,0,0.0,10,82.5,0.0,0.03,0.0,0.0,Nov,2,2,9,11,Returning_Visitor,False
3,213.0,0,0.0,2,338.0,0.0,0.0,112.4141272,0.0,Oct,1,1,1,5,Returning_Visitor,False
0,0.0,0,0.0,27,610.1916667,0.015384615,0.03974359,0.0,0.0,Dec,2,2,2,2,Returning_Visitor,False
4,1521.0,2,64.0,30,2284.687302,0.019354839,0.042741935,2.304322581,0.0,Mar,2,2,1,1,Returning_Visitor,False
8,125.1666667,0,0.0,27,1802.25,0.006060606,0.011774152,0.0,0.0,Mar,3,2,1,8,Returning_Visitor,True
0,0.0,0,0.0,5,26.5,0.04,0.12,0.0,0.0,Mar,1,1,3,1,Returning_Visitor,False
0,0.0,0,0.0,54,941.4666667,0.0,0.003773585,26.67428219,0.0,Aug,4,5,1,1,Returning_Visitor,False
0,0.0,1,0.0,26,668.5,0.0,0.007407407,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False
1,5.0,0,0.0,44,630.3166667,0.025,0.044223485,0.0,0.0,May,2,2,6,3,Returning_Visitor,False
5,69.0,4,163.0,50,2424.75,0.0,0.023333333,2.973214286,0.0,May,2,2,3,3,Returning_Visitor,False
13,345.0166667,0,0.0,90,1816.555008,0.0,0.004861111,86.31034266,0.0,Aug,4,2,3,4,Returning_Visitor,False
0,0.0,0,0.0,72,5465.320175,0.033789954,0.06037786,0.0,0.0,Sep,2,5,2,1,Returning_Visitor,False
0,0.0,0,0.0,29,830.9333333,0.035555556,0.088333333,0.0,0.6,May,3,2,6,13,Returning_Visitor,False
0,0.0,0,0.0,10,232.4,0.0,0.0,0.0,0.0,Aug,1,1,3,4,Returning_Visitor,False
0,0.0,0,0.0,4,87.875,0.0,0.026666667,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True
3,94.0,2,44.2,56,1430.208205,0.02,0.030388889,0.0,0.0,Nov,2,2,9,3,Returning_Visitor,False
